Instrument,Company_Common_Name,TRBC_Economic_Sector_Name,TRBC_Business_Sector_Name,TRBC_Industry_Group_Name,TRBC_Industry_Name,TRBC_Activity_Name,TRBC_Economic_Sector_Code,TRBC_Business_Sector_Code,TRBC_Industry_Group_Code,TRBC_Industry_Code,TRBC_Activity_Code
DBKGn.DE,Deutsche Bank AG,Financials,Banking & Investment Services,Banking Services,Banks,Banks (NEC),55,5510,551010,55101010,5510101010
NAFG.DE,Aurubis AG,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016
HACGn.DE,KPS AG,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
WDL1k.F,Windeln.de SE,Consumer Cyclicals,Retailers,Diversified Retail,Department Stores,Internet & Mail Order Department Stores,53,5340,534020,53402010,5340201013
SHVA.DE,Shareholder Value Beteiligungen AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
8TRA.DE,Traton SE,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Heavy Buses & Coaches,52,5210,521020,52102020,5210202013
GLJn.DE,Grenke AG,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services,Commercial Leasing,55,5510,551010,55101050,5510105015
PALG.DE,Pantaflix AG,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production,"Movie, TV Production & Distribution",53,5330,533020,53302030,5330203011
PEHN.S,Private Equity Holding AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
GKSG.H,GK Software SE,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
SBXn.D,SynBiotic SE,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals,Recreational Pharmaceuticals,56,5620,562010,56201040,5620104017
IFCN.S,Inficon Holding AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Testing & Measuring Equipment,52,5210,521020,52102010,5210201014
GAG1n.DE,GORE German Office Real Estate AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Investment Management,55,5510,551020,55102020,5510202011
GTK.DE,Tonkens Agrar AG,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Fishing & Farming,Fishing & Farming (NEC),54,5410,541020,54102010,5410201010
BIG1k.DE,Bio-Gate AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution","Medical Equipment, Supplies & Distribution (NEC)",56,5610,561010,56101020,5610102010
HBMN.S,HBM Healthcare Investments AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Venture Capital,55,5510,551020,55102020,5510202015
PSAGn.DE,PSI Software SE,Technology,Software & IT Services,Software & IT Services,Software,Software (NEC),57,5720,572010,57201020,5720102010
